norm,description,citation,category,source,associated_embed,type
valence_hollis,Value score ranging from 0 (least pleasant) to 1 (most pleaseant)  based on 4-tuple rating task. ,"Hollis, G., & Westbury, C. (2018). When is best-worst best? A comparison of best-worst scaling, numeric estimation, and rating scales for collection of semantic norms. Behavior Research Methods, 50, 115–133.",valence,lit_search,,numeric
arousal_hollis,Value score ranging from 0 (least arousing) to 1 (most arousing)  based on 4-tuple rating task. ,"Hollis, G., & Westbury, C. (2018). When is best-worst best? A comparison of best-worst scaling, numeric estimation, and rating scales for collection of semantic norms. Behavior Research Methods, 50, 115–133.",arousal,lit_search,,numeric
concreteness_hollis,Proportion of times an item was chosen as the least concrete subtracted from the proportion of ties it was chosen as the most concrete  based on 4-tuple rating task.  ,"Hollis, G., & Westbury, C. (2018). When is best-worst best? A comparison of best-worst scaling, numeric estimation, and rating scales for collection of semantic norms. Behavior Research Methods, 50, 115–133.",concreteness,lit_search,,numeric
aoa_stration,"Ratings on a scale of 1 (prenursery, age 2) to 9 (eight grade and above, age 13 and older) (White, 2973)","Stration, R. P., Jacobus, K. A., & Brinley, B. (1975). Age-of-acquisition, imagery, familiarity and meaningfulness norms for 543 words. Behavior Research Methods & Instrumentation, 7(1), 1–6.",age_of_acquisition,lit_search,,numeric
imagery_stration,"Ratings on a scale of 1 (very difficult, image aroused after a long delay or not at all) to 5 (very easy, image aroused immediately (Pavia et al, 1968)","Stration, R. P., Jacobus, K. A., & Brinley, B. (1975). Age-of-acquisition, imagery, familiarity and meaningfulness norms for 543 words. Behavior Research Methods & Instrumentation, 7(1), 1–6.",imageability,lit_search,,numeric
familiarity_stration,Ratings on a scale of 1 (never used) to 5 (used every day),"Stration, R. P., Jacobus, K. A., & Brinley, B. (1975). Age-of-acquisition, imagery, familiarity and meaningfulness norms for 543 words. Behavior Research Methods & Instrumentation, 7(1), 1–6.",familiarity,lit_search,,numeric
meaningfulness_stration,Mean number of associations give under Noble's (1952) instructions for a 30 second production period.,"Stration, R. P., Jacobus, K. A., & Brinley, B. (1975). Age-of-acquisition, imagery, familiarity and meaningfulness norms for 543 words. Behavior Research Methods & Instrumentation, 7(1), 1–6.",associatability,lit_search,,numeric
valence_garrido,Extent to which participants thought the word generated negative or positive feelings (from 1 = Very negative to 7 = Very positive),"Garrido, M. V., & Prada, M. (2021). Comparing the valence, emotionality and subjective familiarity of words in a first and a second language. International Journal of Bilingual Education and Bilingualism, 24(2), 275–291.
",valence,lit_search,,numeric
emotionality_garrido,Extent to which participants thought the feeling generated by the word was intense (from 1 = Not very intense to 7 = Very intense),"Garrido, M. V., & Prada, M. (2021). Comparing the valence, emotionality and subjective familiarity of words in a first and a second language. International Journal of Bilingual Education and Bilingualism, 24(2), 275–291.
",emotion,lit_search,,numeric
familiarity_garrido,"subjective rating of how frequently the person reads, speaks or listens to the word (from 1 = Not very familiar to 7 = Very familiar)","Garrido, M. V., & Prada, M. (2021). Comparing the valence, emotionality and subjective familiarity of words in a first and a second language. International Journal of Bilingual Education and Bilingualism, 24(2), 275–291.
",familiarity,lit_search,,numeric
angry_zupan,Degree to which word represents angry (1 = not at all; 9 = extremely well),"Zupan, B., Dempsey, L., & Hartwell, K. (2023). Categorising emotion words: the influence of response options. Language and Cognition, 15(1), 29–52.
",emotion,lit_search,,numeric
fearful_zupan,Degree to which word represents fearful (1 = not at all; 9 = extremely well),"Zupan, B., Dempsey, L., & Hartwell, K. (2023). Categorising emotion words: the influence of response options. Language and Cognition, 15(1), 29–52.
",emotion,lit_search,,numeric
happy_zupan,"Degree to which word represents ""happy"" (1 = not at all; 9 = extremely well)","Zupan, B., Dempsey, L., & Hartwell, K. (2023). Categorising emotion words: the influence of response options. Language and Cognition, 15(1), 29–52.
",emotion,lit_search,,numeric
intensity_zupan,Participnt ratings of intensity (1 = extremely low; 9 = extremely high),"Zupan, B., Dempsey, L., & Hartwell, K. (2023). Categorising emotion words: the influence of response options. Language and Cognition, 15(1), 29–52.
",emotion,lit_search,,numeric
neutral_zupan,Degree to which word represents neutral (1 = not at all; 9 = extremely well),"Zupan, B., Dempsey, L., & Hartwell, K. (2023). Categorising emotion words: the influence of response options. Language and Cognition, 15(1), 29–52.
",valence,lit_search,,numeric
sad_zupan,Degree to which word represents sad (1 = not at all; 9 = extremely well),"Zupan, B., Dempsey, L., & Hartwell, K. (2023). Categorising emotion words: the influence of response options. Language and Cognition, 15(1), 29–52.
",emotion,lit_search,,numeric
valence_zupan,Participant ratings of valence (1 = extremely negative; 9 = extremely positive).,"Zupan, B., Dempsey, L., & Hartwell, K. (2023). Categorising emotion words: the influence of response options. Language and Cognition, 15(1), 29–52.
",valence,lit_search,,numeric
aoa_bird,"Age of acquisition ratings converted from participant's having circled age bands to a 1-7 scale (1=0-2 years, 7=13 years and older), with interim bands of two years each. Rating for each item was multiplied by 100 for consistency with MRC psychonliguistic database (1997)","Bird, H., Franklin, S., & Howard, D. (2001). Age of acquisition and imageability ratings for a large set of words, including verbs and function words. Behavior Research Methods, Instruments, & Computers, 33(1), 73–79.
",age_of_acquisition,lit_search,,numeric
imageability_bird,"Participant ratings of imageability (1=least imageable, 7=most imageable)","Bird, H., Franklin, S., & Howard, D. (2001). Age of acquisition and imageability ratings for a large set of words, including verbs and function words. Behavior Research Methods, Instruments, & Computers, 33(1), 73–79.
",imageability,lit_search,,numeric
association_rt_ley,Mean time between cue and response (seconds),"Ley, R., & Tesiny, E. (1975). Associative reaction time, meaningfulness, and pronunciability ratings of 382 words and paralogs. Bulletin of the Psychonomic Society, 6(6), 645–648.
",semantic_decision,lit_search,,numeric
meaningfulness_ley,mean participant estimate of the number of associations they could make to each word in relation to the other units along a continuum from 1 (none) to 5 (very many).,"Ley, R., & Tesiny, E. (1975). Associative reaction time, meaningfulness, and pronunciability ratings of 382 words and paralogs. Bulletin of the Psychonomic Society, 6(6), 645–648.
",associatability,lit_search,,numeric
happiness_stevenson,"Mean participant rating of word on how strongly the word elicits happiness (1=not at all, 5=extremely)","Stevenson, R. A., Mikels, J. A., & James, T. W. (2007). Characterization of the affective norms for English words by discrete emotional categories. Behavior Research Methods, 39(4), 1020–1024.
",emotion,lit_search,,numeric
anger_stevenson,"Mean participant rating of word on how strongly the word elicits anger (1=not at all, 5=extremely)","Stevenson, R. A., Mikels, J. A., & James, T. W. (2007). Characterization of the affective norms for English words by discrete emotional categories. Behavior Research Methods, 39(4), 1020–1024.
",emotion,lit_search,,numeric
sadness_stevenson,"Mean participant rating of word on how strongly the word elicits sadness (1=not at all, 5=extremely)","Stevenson, R. A., Mikels, J. A., & James, T. W. (2007). Characterization of the affective norms for English words by discrete emotional categories. Behavior Research Methods, 39(4), 1020–1024.
",emotion,lit_search,,numeric
fear_stevenson,"Mean participant rating of word on how strongly the word elicits fear (1=not at all, 5=extremely)","Stevenson, R. A., Mikels, J. A., & James, T. W. (2007). Characterization of the affective norms for English words by discrete emotional categories. Behavior Research Methods, 39(4), 1020–1024.
",emotion,lit_search,,numeric
disgust_stevenson,"Mean participant rating of word on how strongly the word elicits disgust (1=not at all, 5=extremely)","Stevenson, R. A., Mikels, J. A., & James, T. W. (2007). Characterization of the affective norms for English words by discrete emotional categories. Behavior Research Methods, 39(4), 1020–1024.
",emotion,lit_search,,numeric
goodness_brown,Mean goodness on a 7-point scale (good-bad),"Brown, W. P., & Ure, D. M. J. (1969). Five rated characteristics of 650 word association stimuli. British Journal of Psychology, 60(2), 233–249.
",valence,lit_search,,numeric
pleasantness_brown,Mean pleasentenss on a 7-point scale (pleasent-unpleasent),"Brown, W. P., & Ure, D. M. J. (1969). Five rated characteristics of 650 word association stimuli. British Journal of Psychology, 60(2), 233–249.
",valence,lit_search,,numeric
emotionality_brown,Mean emotionality on a 7-point scale. (how emotional),"Brown, W. P., & Ure, D. M. J. (1969). Five rated characteristics of 650 word association stimuli. British Journal of Psychology, 60(2), 233–249.
",emotion,lit_search,,numeric
concreteness_brown,Mean concreteness on a 7-point scale. (concrete-abstract),"Brown, W. P., & Ure, D. M. J. (1969). Five rated characteristics of 650 word association stimuli. British Journal of Psychology, 60(2), 233–249.
",concreteness,lit_search,,numeric
meaningfulness_brown,How quick and easy it is to think of associations to the word. ,"Brown, W. P., & Ure, D. M. J. (1969). Five rated characteristics of 650 word association stimuli. British Journal of Psychology, 60(2), 233–249.
",associatability,lit_search,,numeric
difficulty_rudell,"Mean ratings of the difficulty of each word on a 5-point scale (x100) based on the level of development typically needed for use and comprehension by: (1) a six-year old child, (2) a grade school student, (3) a high school student, (4) a well-read adult, or (5) a professor in his/her particular field of expertise.","Rudell, A. P. (1993). Frequency of word usage and perceived word difficulty: Ratings of Kučera and Francis words. Behavior Research Methods, Instruments, & Computers, 25(4), 455–463.
",age_of_acquisition,lit_search,,numeric
imageability_chiarello,"Mean imageability rating on 7-point scale (1 = not
at all imageable; 7 = highly imageable)","Chiarello, C., Shears, C., & Lund, K. (1999). Imageability and distributional typicality measures of nouns and verbs in contemporary English. Behavior Research Methods, Instruments, & Computers, 31(4), 603–637.
",imageability,lit_search,,numeric
imageability_rt_chiarello," time from the onset ofthe stimulus
ward until the Enter key was pressed.","Chiarello, C., Shears, C., & Lund, K. (1999). Imageability and distributional typicality measures of nouns and verbs in contemporary English. Behavior Research Methods, Instruments, & Computers, 31(4), 603–637.
",semantic_decision,lit_search,,numeric
personal_use_janschewitz,"Rated on a scale of 1 to 9, indicating the frequency with which the participant uses the word themselves, with 1 being ""never use"" and 9 being ""use very often.""","Janschewitz, K. (2008). Taboo, emotionally valenced, and emotionally neutral word norms. Behavior Research Methods, 40(4), 1065–1074.
",familiarity,lit_search,,numeric
familiarity_janschewitz,"Rated on a scale of 1 to 9, reflecting how often the participant has encountered the word in any context (heard, read, etc.), with 1 being ""not familiar"" and 9 being ""very familiar.""","Janschewitz, K. (2008). Taboo, emotionally valenced, and emotionally neutral word norms. Behavior Research Methods, 40(4), 1065–1074.
",familiarity,lit_search,,numeric
offensiveness_janschewitz,"Rated on a scale of 1 to 9, indicating the extent to which the participant finds the word personally offensive or upsetting, with 1 being ""not offensive"" and 9 being ""highly offensive.""","Janschewitz, K. (2008). Taboo, emotionally valenced, and emotionally neutral word norms. Behavior Research Methods, 40(4), 1065–1074.
",social/moral,lit_search,,numeric
tabooness_janschewitz,"Rated on a scale of 1 to 9, indicating the perceived offensiveness or upsetting nature of the word to people in general, considering multiple contexts and speakers, with 1 being ""not taboo"" and 9 being ""highly taboo.""","Janschewitz, K. (2008). Taboo, emotionally valenced, and emotionally neutral word norms. Behavior Research Methods, 40(4), 1065–1074.
",social/moral,lit_search,,numeric
valence_janschewitz,"Rated on a scale of 1 to 9, representing the participant's evaluation of the word as good or bad, with larger numbers indicating a more positive evaluation, smaller numbers indicating a more negative evaluation, and 5 indicating neutrality.","Janschewitz, K. (2008). Taboo, emotionally valenced, and emotionally neutral word norms. Behavior Research Methods, 40(4), 1065–1074.
",valence,lit_search,,numeric
arousal_janschewitz,"Rated on a scale of 1 to 9, indicating the extent to which the word is exciting or attention-grabbing, with 1 being ""not arousing"" and 9 being ""highly arousing.""","Janschewitz, K. (2008). Taboo, emotionally valenced, and emotionally neutral word norms. Behavior Research Methods, 40(4), 1065–1074.
",arousal,lit_search,,numeric
imageability_janschewitz,"Rated on a scale of 1 to 9, reflecting how easily a participant can form a mental image of the word, with 1 being ""difficult to imagine"" and 9 being ""easily imaginable.""","Janschewitz, K. (2008). Taboo, emotionally valenced, and emotionally neutral word norms. Behavior Research Methods, 40(4), 1065–1074.
",imageability,lit_search,,numeric
perc_known_britz,Mean percentage of participants who indicated they know the meaning of the word (across three rated norms),"Britz, S., Rader, L., Gauggel, S., & Mainz, V. (2023). An English list of trait words including valence, social desirability, and observability ratings. Behavior Research Methods, 55(5), 2669–2686.
",familiarity,lit_search,,numeric
valence_britz,"Mean valence ratings on a scale of -3 (extremely negative) to +3 (extremely positive), with 0=neutral","Britz, S., Rader, L., Gauggel, S., & Mainz, V. (2023). An English list of trait words including valence, social desirability, and observability ratings. Behavior Research Methods, 55(5), 2669–2686.
",valence,lit_search,,numeric
social_des_britz,Mean social desirability ratings on a scale of -3 (extemely socially undesirable) to +3 (extremely socially desirable),"Britz, S., Rader, L., Gauggel, S., & Mainz, V. (2023). An English list of trait words including valence, social desirability, and observability ratings. Behavior Research Methods, 55(5), 2669–2686.
",social/moral,lit_search,,numeric
observability_britz,Mean ratings on a scale of 1 (extremely difficult to observe) to 4 (extremely easy to observe),"Britz, S., Rader, L., Gauggel, S., & Mainz, V. (2023). An English list of trait words including valence, social desirability, and observability ratings. Behavior Research Methods, 55(5), 2669–2686.
",sensory,lit_search,,numeric
aoa_rodriguez,"Mean estimate of the age the participant learned the word, from 1 to 15+. ","Rodriguez-Cuadrado, S., Hinojosa, J. A., Guasch, M., Romero-Rivas, C., Sabater, L., Suárez-Coalla, P., & Ferré, P. (2022). Subjective age of acquisition norms for 1604 English words by Spanish L2 speakers of English and their relationship with lexico-semantic, affective, sociolinguistic and proficiency variables. Behavior Research Methods, 1–18.
",age_of_acquisition,lit_search,,numeric
perc_known_rodriguez,Percent of participants who knew the word. ,"Rodriguez-Cuadrado, S., Hinojosa, J. A., Guasch, M., Romero-Rivas, C., Sabater, L., Suárez-Coalla, P., & Ferré, P. (2022). Subjective age of acquisition norms for 1604 English words by Spanish L2 speakers of English and their relationship with lexico-semantic, affective, sociolinguistic and proficiency variables. Behavior Research Methods, 1–18.
",familiarity,lit_search,,numeric
known_rt_chen,Mean time taken to decide if the word was known.,"Chen, X., & Dong, Y. (2019). Evaluating objective and subjective frequency measures in L2 lexical processing. Lingua, 230, 102738.
",semantic_decision,lit_search,,numeric
english_accuracy_chen,Mean accuracy in judging whether the word is an English word or not. ,"Chen, X., & Dong, Y. (2019). Evaluating objective and subjective frequency measures in L2 lexical processing. Lingua, 230, 102738.
",semantic_decision,lit_search,,numeric
subjective_frequency_chen,Mean ratings from 1 (no exposure to the word at all) to 7 (extremely frequent exposure tot he word).,"Chen, X., & Dong, Y. (2019). Evaluating objective and subjective frequency measures in L2 lexical processing. Lingua, 230, 102738.
",familiarity,lit_search,,numeric
familiarity_juhasz,"Rated on a scale of 1 to 7, indicating how familiar the participant is with the word, with 1 being ""not familiar at all"" and 7 being ""extremely familiar.""","Juhasz, B. J., Lai, Y.-H., & Woodcock, M. L. (2015). A database of 629 English compound words: ratings of familiarity, lexeme meaning dominance, semantic transparency, age of acquisition, imageability, and sensory experience. Behavior Research Methods, 47, 1004–1019.
",familiarity,lit_search,,numeric
aoa_juhasz,"Rated on a scale of 1 to 7, reflecting the age at which the participant learned the word, with 1 corresponding to ages 0–2 and 7 to age 13 or older.","Juhasz, B. J., Lai, Y.-H., & Woodcock, M. L. (2015). A database of 629 English compound words: ratings of familiarity, lexeme meaning dominance, semantic transparency, age of acquisition, imageability, and sensory experience. Behavior Research Methods, 47, 1004–1019.
",age_of_acquisition,lit_search,,numeric
transparency_juhasz,"Rated on a scale of 1 to 7, indicating how transparent the relationship between the lexemes and the meaning of the compound word is, with 1 being ""not transparent at all"" and 7 being ""completely transparent.""","Juhasz, B. J., Lai, Y.-H., & Woodcock, M. L. (2015). A database of 629 English compound words: ratings of familiarity, lexeme meaning dominance, semantic transparency, age of acquisition, imageability, and sensory experience. Behavior Research Methods, 47, 1004–1019.
",iconicity/transparency,lit_search,,numeric
lexeme_dominance_juhasz,"Rated on a scale of 0 to 10 for lexeme meaning dominance, presumably with higher numbers indicating greater dominance, although the specific endpoints of this scale are not provided in the paper.","Juhasz, B. J., Lai, Y.-H., & Woodcock, M. L. (2015). A database of 629 English compound words: ratings of familiarity, lexeme meaning dominance, semantic transparency, age of acquisition, imageability, and sensory experience. Behavior Research Methods, 47, 1004–1019.
",iconicity/transparency,lit_search,,numeric
imageability_juhasz,"Rated on a scale of 1 to 7 for imageability, where higher numbers indicate greater ease with which the word can evoke a mental image, with 1 being ""difficult to imagine"" and 7 being ""easily imaginable.""","Juhasz, B. J., Lai, Y.-H., & Woodcock, M. L. (2015). A database of 629 English compound words: ratings of familiarity, lexeme meaning dominance, semantic transparency, age of acquisition, imageability, and sensory experience. Behavior Research Methods, 47, 1004–1019.
",imageability,lit_search,,numeric
sensory_experience_juhasz2015,"Rated on a scale of 1 to 7 for sensory experience, where higher numbers suggest that the word evokes a stronger sensory or perceptual experience, with 1 being ""weak or no sensory experience"" and 7 being ""strong sensory experience""","Juhasz, B. J., Lai, Y.-H., & Woodcock, M. L. (2015). A database of 629 English compound words: ratings of familiarity, lexeme meaning dominance, semantic transparency, age of acquisition, imageability, and sensory experience. Behavior Research Methods, 47, 1004–1019.
",sensory,SCOPE & lit_search,,numeric
emotion_troche,"scale ranged from Strongly Disagree (1), through Neutral (4), to Strongly Agree (7). “I relate this word with human emotion.”","Troche, J., Crutch, S. J., & Reilly, J. (2017). Defining a conceptual topography of word concreteness: Clustering properties of emotion, sensation, and magnitude among 750 English words. Frontiers in Psychology, 8, 1787.
",emotion,lit_search,,numeric
polarity_troche,"scale ranged from Strongly Disagree (1), through Neutral (4), to Strongly Agree (7). “I relate this word to positive or negative feelings in myself.”","Troche, J., Crutch, S. J., & Reilly, J. (2017). Defining a conceptual topography of word concreteness: Clustering properties of emotion, sensation, and magnitude among 750 English words. Frontiers in Psychology, 8, 1787.
",valence,lit_search,,numeric
socialness_troche,"scale ranged from Strongly Disagree (1), through Neutral (4), to Strongly Agree (7). “I relate this word with relationships between people.”","Troche, J., Crutch, S. J., & Reilly, J. (2017). Defining a conceptual topography of word concreteness: Clustering properties of emotion, sensation, and magnitude among 750 English words. Frontiers in Psychology, 8, 1787.
",social/moral,lit_search,,numeric
morality_troche,"scale ranged from Strongly Disagree (1), through Neutral (4), to Strongly Agree (7). “I relate this word to morality, rules or any other thing that governs my behavior”","Troche, J., Crutch, S. J., & Reilly, J. (2017). Defining a conceptual topography of word concreteness: Clustering properties of emotion, sensation, and magnitude among 750 English words. Frontiers in Psychology, 8, 1787.
",social/moral,lit_search,,numeric
visual_troche,"scale ranged from Strongly Disagree (1), through Neutral (4), to Strongly Agree (7). “I relate this word to shapes, forms, textures that I can see with my eyes.”","Troche, J., Crutch, S. J., & Reilly, J. (2017). Defining a conceptual topography of word concreteness: Clustering properties of emotion, sensation, and magnitude among 750 English words. Frontiers in Psychology, 8, 1787.
",sensory,lit_search,,numeric
motion_self_troche,"scale ranged from Strongly Disagree (1), through Neutral (4), to Strongly Agree (7). “I relate this word to my own self-generated movement.”","Troche, J., Crutch, S. J., & Reilly, J. (2017). Defining a conceptual topography of word concreteness: Clustering properties of emotion, sensation, and magnitude among 750 English words. Frontiers in Psychology, 8, 1787.
",motor,lit_search,,numeric
thought_troche,"scale ranged from Strongly Disagree (1), through Neutral (4), to Strongly Agree (7). “I relate this word to mental activity, ideas, opinions, and judgments.”","Troche, J., Crutch, S. J., & Reilly, J. (2017). Defining a conceptual topography of word concreteness: Clustering properties of emotion, sensation, and magnitude among 750 English words. Frontiers in Psychology, 8, 1787.
",animacy,lit_search,,numeric
color_troche,"scale ranged from Strongly Disagree (1), through Neutral (4), to Strongly Agree (7). “I relate this word to color.”","Troche, J., Crutch, S. J., & Reilly, J. (2017). Defining a conceptual topography of word concreteness: Clustering properties of emotion, sensation, and magnitude among 750 English words. Frontiers in Psychology, 8, 1787.
",sensory,lit_search,,numeric
taste_smell_troche,"scale ranged from Strongly Disagree (1), through Neutral (4), to Strongly Agree (7). “I relate this word to flavors and odors I can smell and/or taste.”","Troche, J., Crutch, S. J., & Reilly, J. (2017). Defining a conceptual topography of word concreteness: Clustering properties of emotion, sensation, and magnitude among 750 English words. Frontiers in Psychology, 8, 1787.
",sensory,lit_search,,numeric
tactile_troche,"scale ranged from Strongly Disagree (1), through Neutral (4), to Strongly Agree (7). “ I relate this word to sensations (e.g., texture, shape, temperature, wetness) I can feel with my hands or body.”","Troche, J., Crutch, S. J., & Reilly, J. (2017). Defining a conceptual topography of word concreteness: Clustering properties of emotion, sensation, and magnitude among 750 English words. Frontiers in Psychology, 8, 1787.
",sensory,lit_search,,numeric
auditory_troche,"scale ranged from Strongly Disagree (1), through Neutral (4), to Strongly Agree (7). “I relate this word to sounds, rhythms, etc. that I can hear.”","Troche, J., Crutch, S. J., & Reilly, J. (2017). Defining a conceptual topography of word concreteness: Clustering properties of emotion, sensation, and magnitude among 750 English words. Frontiers in Psychology, 8, 1787.
",sensory,lit_search,,numeric
space_troche,"scale ranged from Strongly Disagree (1), through Neutral (4), to Strongly Agree (7). “I relate this word to position, place or direction.”","Troche, J., Crutch, S. J., & Reilly, J. (2017). Defining a conceptual topography of word concreteness: Clustering properties of emotion, sensation, and magnitude among 750 English words. Frontiers in Psychology, 8, 1787.
",space/time/quantity,lit_search,,numeric
time_troche,"scale ranged from Strongly Disagree (1), through Neutral (4), to Strongly Agree (7). “I relate this word with time, order, or duration.”","Troche, J., Crutch, S. J., & Reilly, J. (2017). Defining a conceptual topography of word concreteness: Clustering properties of emotion, sensation, and magnitude among 750 English words. Frontiers in Psychology, 8, 1787.
",space/time/quantity,lit_search,,numeric
quantity_troche,"scale ranged from Strongly Disagree (1), through Neutral (4), to Strongly Agree (7). “I relate this word to size, amount or scope.”

","Troche, J., Crutch, S. J., & Reilly, J. (2017). Defining a conceptual topography of word concreteness: Clustering properties of emotion, sensation, and magnitude among 750 English words. Frontiers in Psychology, 8, 1787.
",space/time/quantity,lit_search,,numeric
familiarity_morrow,"Measures the personal familiarity with various items, rated on a scale from 1 (not at all familiar) to 7 (extremely familiar).","Morrow, L. I., & Duffy, M. F. (2005). The representation of ontological category concepts as affected by healthy aging: Normative data and theoretical implications. Behavior Research Methods, 37, 608–625.
",familiarity,lit_search,,numeric
perc_known_morrow,Refers to the proportion of participants who are familiar with or recognize a given item. This is expressed as a percentage.,"Morrow, L. I., & Duffy, M. F. (2005). The representation of ontological category concepts as affected by healthy aging: Normative data and theoretical implications. Behavior Research Methods, 37, 608–625.
",familiarity,lit_search,,numeric
subjective_frequency_morrow,"Reflects how often participants encounter a concept, rated on a scale from 1 (never encountered) to 7 (encountered very frequently).","Morrow, L. I., & Duffy, M. F. (2005). The representation of ontological category concepts as affected by healthy aging: Normative data and theoretical implications. Behavior Research Methods, 37, 608–625.
",familiarity,lit_search,,numeric
visual_complexity_marrow,"Assesses the perceived intricacy or detail of an item's appearance, rated on a scale from 1 (not complex) to 7 (highly complex).","Morrow, L. I., & Duffy, M. F. (2005). The representation of ontological category concepts as affected by healthy aging: Normative data and theoretical implications. Behavior Research Methods, 37, 608–625.
",sensory,lit_search,,numeric
imageability_morrow,"Measures how easily an item can be visualized or mentally pictured, on a scale from 1 (not imageable) to 7 (highly imageable).","Morrow, L. I., & Duffy, M. F. (2005). The representation of ontological category concepts as affected by healthy aging: Normative data and theoretical implications. Behavior Research Methods, 37, 608–625.
",imageability,lit_search,,numeric
aoa_marrow,"Estimates the age at which participants believe they first learned a particular word or concept. It is measured using a scale with categories representing different age ranges, such as 0–2 years, 3–4 years, etc. up to 13+ years.","Morrow, L. I., & Duffy, M. F. (2005). The representation of ontological category concepts as affected by healthy aging: Normative data and theoretical implications. Behavior Research Methods, 37, 608–625.
",age_of_acquisition,lit_search,,numeric
aoa_cortese,"Mean estimates of the age at which participants believe they first learned a particular word or concept. It is measured using a scale with categories representing different age ranges, such as 0–2 years, 3–4 years, etc. up to 13+ years.","Cortese, M. J., & Khanna, M. M. (2008). Age of acquisition ratings for 3,000 monosyllabic words. Behavior Research Methods, 40(3), 791–794.
",age_of_acquisition,lit_search,,numeric
aoa_rt_cortese,Mean time taken to perform the aoa rating task.,"Cortese, M. J., & Khanna, M. M. (2008). Age of acquisition ratings for 3,000 monosyllabic words. Behavior Research Methods, 40(3), 791–794.
",semantic_decision,lit_search,,numeric
imagery_vanderveur,Mean imagery rating on a scale from 1 (low imagery) to 7 (high imagery).,"Van der Veur, B. W. (1975). Imagery Rating of 1,000 Frequently Used Words. Journal of Educational Psychology, 67(1), 44.
",imageability,lit_search,,numeric
likableness_chandler,Likableness ratings on a scale from 0 (least favorable or desirable in a person) to 6 (most favorable or desirable in a person).,"Chandler, J. (2018). Likeableness and meaningfulness ratings of 555 (+ 487) person-descriptive words. Journal of Research in Personality, 72, 50–57.
",social/moral,lit_search,,numeric
meaningfulness_chandler,Meaingfulness ratings on a scale from 0 0 (“I have almost no idea of the meaning of this word”) to 4 (“I have a very clear and definite understanding of the meaning of this word”).,"Chandler, J. (2018). Likeableness and meaningfulness ratings of 555 (+ 487) person-descriptive words. Journal of Research in Personality, 72, 50–57.
",familiarity,lit_search,,numeric
emotionality_chandler,Mean rating for words rated as either 1 (emotional) or 0 (not emotional). ,"Chandler, J. (2018). Likeableness and meaningfulness ratings of 555 (+ 487) person-descriptive words. Journal of Research in Personality, 72, 50–57.
",emotion,lit_search,,numeric
gender_assoc_crawford,"Mean rating on a scale from 1 to 5 (1 = definitely
feminine, 2 = somewhat feminine, 3 = neutral, 4 = somewhat masculine, and 5 = definitely masculine).","Crawford, J. T., Leynes, P. A., Mayhorn, C. B., & Bink, M. L. (2004). Champagne, beer, or coffee? A corpus of gender-related and neutral words. Behavior Research Methods, Instruments, & Computers, 36, 444–458.
",social/moral,lit_search,,numeric
polysemy_armstrong,"Represents the degree of multiple meanings of a word, calculated as entropy from participant-rated meaning frequencies. Higher values indicate a more even distribution of meanings, reflecting greater polysemy.","Armstrong, B. C., Tokowicz, N., & Plaut, D. C. (2012). eDom: Norming software and relative meaning frequencies for 544 English homonyms. Behavior Research Methods, 44, 1015–1027.
",semantic_diversity,lit_search,,numeric
imageability_rt_cortese,Reaction time (milliseconds) for performing the imageability rating task. ,"Cortese, M. J., & Fugett, A. (2004). Imageability ratings for 3,000 monosyllabic words. Behavior Research Methods, Instruments, & Computers, 36(3), 384–387.
",semantic_decision,lit_search,,numeric
imageability_cortese,Mean imageability ratings on a scale from 1 (low imager) to 7 (high imagery). ,"Cortese, M. J., & Fugett, A. (2004). Imageability ratings for 3,000 monosyllabic words. Behavior Research Methods, Instruments, & Computers, 36(3), 384–387.
",imageability,lit_search,,numeric
valence_citron,Mean valence from -3 (very negative) to +3 (very positive),"Citron, F. M. M., Weekes, B. S., & Ferstl, E. C. (2014). How are affective word ratings related to lexicosemantic properties? Evidence from the Sussex Affective Word List. Applied Psycholinguistics, 35(2), 313–331.
",valence,lit_search,,numeric
arousal_citron,Mean arousal from 1 (not at all) to 7 (very high),"Citron, F. M. M., Weekes, B. S., & Ferstl, E. C. (2014). How are affective word ratings related to lexicosemantic properties? Evidence from the Sussex Affective Word List. Applied Psycholinguistics, 35(2), 313–331.
",arousal,lit_search,,numeric
familiarity_citron,Mean familiarity from 1 (not at all) to 7 (very high),"Citron, F. M. M., Weekes, B. S., & Ferstl, E. C. (2014). How are affective word ratings related to lexicosemantic properties? Evidence from the Sussex Affective Word List. Applied Psycholinguistics, 35(2), 313–331.
",familiarity,lit_search,,numeric
aoa_citron,"AoA scale was labeled using the following age ranges: 0–2, 2–4, 4–6, 6–9, 9–12, 12–16, and older than 16.","Citron, F. M. M., Weekes, B. S., & Ferstl, E. C. (2014). How are affective word ratings related to lexicosemantic properties? Evidence from the Sussex Affective Word List. Applied Psycholinguistics, 35(2), 313–331.
",age_of_acquisition,lit_search,,numeric
imageability_citron,Mean imageability from 1 (not at all) to 7 (very high),"Citron, F. M. M., Weekes, B. S., & Ferstl, E. C. (2014). How are affective word ratings related to lexicosemantic properties? Evidence from the Sussex Affective Word List. Applied Psycholinguistics, 35(2), 313–331.
",imageability,lit_search,,numeric
